#{"t_start": 1787305788.601611, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-88.0,100,1258.35017
-100.0,100,1259.798824
-56.0,100,1261.173782
-100.0,100,1262.786156
-100.0,100,1264.228596
-100.0,100,1265.611057
-100.0,100,1267.191355
-100.0,100,1268.738297
-22.0,100,1270.088614
-100.0,100,1271.662436
-100.0,100,1273.260551
-100.0,100,1274.88132
-98.0,100,1276.43345
-2.0,100,1277.858196
-100.0,100,1279.482253
-100.0,100,1281.088705
0.0,100,1282.654991
-100.0,100,1284.252382
-100.0,100,1285.831087
-100.0,100,1287.285918
-9.0,100,1288.784511
-100.0,100,1290.377751
-100.0,100,1292.030476
-100.0,100,1293.589645
-100.0,100,1295.135706
-97.0,100,1296.661571
-100.0,100,1298.112307
-93.0,100,1299.572742
-100.0,100,1301.012853
-100.0,100,1302.596585
-100.0,100,1304.209302
-100.0,100,1305.579278
-100.0,100,1307.015731
-100.0,100,1308.563777
-100.0,100,1310.090063
-100.0,100,1311.531353
-100.0,100,1313.107094
-100.0,100,1314.514746
-100.0,100,1315.966568
-100.0,100,1317.54608
-100.0,100,1319.070768
-31.0,100,1320.462685
-100.0,100,1322.200059
-47.0,100,1323.708947
-100.0,100,1325.078243
-82.0,100,1326.632426
-100.0,100,1328.080551
-53.0,100,1329.545522
-25.0,100,1331.104169
-100.0,100,1332.627944
-96.0,100,1334.148885
-100.0,100,1335.574669
-100.0,100,1337.094676
-19.0,100,1338.669948
-28.0,100,1340.2699
-100.0,100,1341.758717
-100.0,100,1343.15961
-100.0,100,1344.40103
-7.0,100,1345.903331
-100.0,100,1347.431952
-100.0,100,1348.817307
-100.0,100,1350.400342
-100.0,100,1351.970051
-100.0,100,1353.371272
-100.0,100,1354.771322
-100.0,100,1356.361173
-100.0,100,1357.937218
-100.0,100,1359.395583
-100.0,100,1360.838031
-100.0,100,1362.381277
-100.0,100,1364.006478
-100.0,100,1365.607473
-60.0,100,1366.997269
-8.0,100,1368.579926
-100.0,100,1370.009748
-19.0,100,1371.479948
-100.0,100,1373.150154
-100.0,100,1374.765492
-100.0,100,1376.185126
-100.0,100,1377.671292
-74.0,100,1379.021684
-66.0,100,1380.549201
-100.0,100,1382.344042
-100.0,100,1383.801339
-7.0,100,1385.294675
-69.0,100,1386.871546
-100.0,100,1388.366214
-100.0,100,1389.793068
-100.0,100,1391.221535
-69.0,100,1392.638804
-20.0,100,1394.238017
-78.0,100,1395.726809
-100.0,100,1396.966847
-100.0,100,1398.258793
-61.0,100,1399.521443
-100.0,100,1401.062451
-100.0,100,1402.502908
-27.0,100,1403.904976
-100.0,100,1405.279644
-28.0,100,1406.754913
-100.0,100,1408.059301
-100.0,100,1409.457296
-49.0,100,1411.226769
-100.0,100,1412.788993
-75.0,100,1414.259254
-100.0,100,1415.469539
-100.0,100,1416.722789
-100.0,100,1418.072574
